Work Order #,Order Quantity,Pieces Scrapped,Total Scrap Weight (lbs),Scrap%,Sellable,Heats,Week Ending,Piece Weight (lbs),Dross Rate,Bent Rate,Outside Process Scrap Rate,Failed Zyglo Rate,Gouged Rate,Shift Rate,Missrun Rate,Core Rate,Cut Into Rate,Dirty Pattern Rate,Crush Rate,Zyglo Rate,Shrink Rate,Short Pour Rate,Runout Rate,Shrink Porosity Rate,Gas Porosity Rate,Over Grind Rate,Sand Rate,Tear Up Rate,Part ID
W01666,600,3,12,0.5,47800,239,1/16/2023,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,1
W01182,150,6,65,4,47800,239,1/16/2023,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,2
W00348,420,9,77,2.14,47800,239,1/16/2023,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214,0,3
W01537,100,3,46,3,47800,239,1/16/2023,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,4
W01317,126,9,11,7.14,47800,239,1/16/2023,1,0,0,0,0,0,0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0.0476,0,5
W01395,130,2,30,1.54,47800,239,1/16/2023,15,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
W01639,25,6,109,24,47800,239,1/16/2023,18,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,7
W00258,402,5,110,1.24,37800,189,2/6/2023,22,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,8
W01881-01,100,6,20,6,37800,189,2/6/2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,9
W01336,126,3,13,2.38,37800,189,2/6/2023,4,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159,0,10
W01728,100,3,8,3,33000,165,2/10/2023,3,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,11
W01717,50,3,237,6,33000,165,2/10/2023,79,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
W01844,100,5,9,5,33000,165,2/10/2023,2,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,13
W01400,400,6,10,1.5,33000,165,2/10/2023,2,0,0,0,0,0,0,0.0075,0.0025,0,0,0,0,0,0,0,0,0,0,0,0.0025,14
W00258,402,12,263,2.99,33000,165,2/10/2023,22,0.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,15
W01298,20,1,12,5,33000,165,2/10/2023,12,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,16
W01699,70,1,63,1.43,0,0,2/20/2023,63,0,0,0,0,0,0,0,0,0.0143,0,0,0,0,0,0,0,0,0,0,0,17
W01882-01,100,4,24,4,0,0,2/20/2023,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,18
W01942,200,1,19,0.5,33400,167,2/24/2023,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,19
W01610,120,3,27,2.5,33400,167,2/24/2023,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083,0.0167,20
W01872,100,2,11,2,33400,167,2/24/2023,6,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,21
